DCD,DCn
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00124,0.002083
0.00119,0.003027
0.000802,0.003988
0.000411,0.004967
2.08e-05,0.005959
-0.000369,0.006963
-0.000759,0.007977
-0.00115,0.008998
-0.00154,0.01003
-0.00194,0.011
-0.00235,0.01185
-0.00278,0.01262
-0.00322,0.01333
-0.00366,0.01396
-0.00412,0.0145
-0.00458,0.01494
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
0.00198,0.00116
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
